#{"t_start": 1747577978.1583893, "env_id": "KukaBulletEnv-v0"}
r,l,t,success
-656.476684,881,424.740155,False
-696.402036,896,425.840607,False
-909.849358,869,426.876564,False
-981.413459,819,428.690184,False
-596.146897,867,429.755793,False
-669.97042,851,431.713849,False
-1017.642307,882,432.921388,False
-622.604158,886,433.995218,False
-1500.090223,1000,435.543393,False
-733.917922,801,436.595935,False
-880.472517,892,438.599733,False
-710.102781,833,439.632004,False
-580.234059,879,441.586808,False
-770.617728,847,442.736223,False
-896.738726,867,443.77094,False
-768.512267,860,445.661947,False
-538.551317,861,446.829569,False
-631.133952,867,448.810299,False
-625.371987,890,449.925761,False
-636.469696,863,451.871558,False
-628.466968,865,452.981269,False
-667.713238,841,454.073047,False
-718.719243,894,456.095005,False
-839.666419,871,457.151729,False
-521.508213,872,459.021934,False
-766.888021,869,460.119936,False
-1050.164602,911,462.270221,False
-711.727304,668,463.1945,False
-932.051891,913,464.283434,False
-1043.353985,861,466.304676,False
-821.489132,859,467.418511,False
-1063.333382,1000,469.086784,False
-653.332779,837,470.12985,False
-659.127694,882,472.049875,False
-751.858427,879,473.216713,False
-622.881349,896,474.299335,False
-876.85965,914,476.2604,False
-702.879918,866,477.387831,False
-718.795744,871,479.328892,False
-1057.735974,902,480.496338,False
-1292.259365,1000,482.060133,False
-628.699918,858,483.215151,False
-857.404031,815,484.244305,False
-770.384202,857,486.214265,False
-897.866679,822,487.355766,False
-939.163969,809,489.243738,False
-743.658649,882,490.374293,False
-682.326798,880,492.357666,False
-679.732856,895,493.475402,False
-758.933822,859,494.534653,False
-655.920712,884,496.475712,False
-592.135618,882,497.585566,False
-660.209301,839,499.475109,False
-903.216398,1000,500.207,False
-694.556204,875,502.207665,False
-966.303356,849,503.412261,False
-1059.861264,836,504.483406,False
-574.32897,714,506.218848,False
-945.279383,889,507.37969,False
-743.12657,893,509.261205,False
-1209.994645,891,510.378812,False
-752.734076,853,511.561942,False
-1096.843735,892,513.863015,False
-724.766746,860,514.982874,False
-545.94921,849,517.046322,False
-649.889787,857,518.158193,False
-733.236441,902,520.196547,False
-1386.588957,1000,520.946562,False
-1453.052039,1000,522.64513,False
-1479.26484,1000,523.398455,False
-724.956753,870,524.481639,False
-750.864386,865,526.455332,False
-1070.382035,894,527.566455,False
-1088.516139,950,529.750237,False
-886.50696,1000,530.499629,False
-1214.235578,1000,532.369445,False
-1113.625098,1000,533.144121,False
-709.845001,900,535.747302,False
-767.65883,860,536.98139,False
-643.637318,869,539.325832,False
-1175.125658,1000,540.16036,False
-1103.243565,971,542.47239,False
-698.662585,856,543.599729,False
-794.626593,879,544.656513,False
-823.652748,885,546.718612,False
-829.480217,866,547.844797,False
-839.131876,854,549.851606,False
-884.150817,858,550.931798,False
-824.617045,843,552.058994,False
-662.014504,891,553.981057,False
-721.904994,838,555.059736,False
-845.659993,836,556.974098,False
-1010.195467,854,558.117837,False
-1036.018212,884,560.138225,False
-691.891076,864,561.247992,False
-923.825883,875,562.403274,False
-1199.097502,873,564.36325,False
-1133.486476,895,565.492789,False
-824.127704,883,567.527446,False
-1040.835608,858,568.568855,False
-1171.838837,879,570.45742,False
-976.042494,891,571.568548,False
-1272.768518,875,572.620625,False
-1111.91468,869,574.489486,False
-1224.21697,913,575.917851,False
-999.329505,861,578.143672,False
-1197.810885,892,579.265975,False
-1026.944094,896,581.266285,False
-1015.846594,889,582.358119,False
-1070.2539,895,583.422743,False
-780.90517,849,585.357031,False
-1245.692758,865,586.467097,False
-1162.329426,891,588.466408,False
-1125.696051,897,589.532093,False
-1069.582951,874,591.477026,False
-1235.541496,911,592.604025,False
-1239.875031,888,593.719844,False
-791.987623,1000,595.315774,False
-922.030815,874,596.411472,False
-616.405841,882,598.407466,False
-667.058779,879,599.532183,False
-878.444612,879,601.484029,False
-703.543938,839,602.574651,False
-772.741483,858,603.668512,False
-906.280388,822,605.683668,False
-841.416576,855,606.819908,False
-544.672392,852,609.010728,False
-583.528298,884,610.174453,False
-568.970924,862,612.117037,False
-1113.256811,894,613.218572,False
-1052.997996,887,614.348763,False
-820.418459,830,616.469027,False
-1105.432579,889,617.612105,False
-1116.2554,888,619.66673,False
-802.416253,1000,620.457811,False
-614.14747,857,622.436452,False
-572.309997,863,623.535728,False
-712.28524,910,624.745677,False
-668.852759,880,626.752911,False
-581.853087,860,627.890673,False
-772.45685,895,629.848586,False
-893.535799,858,630.924502,False
-899.00924,859,632.871627,False
-1395.993063,903,634.020819,False
-588.973694,864,635.088733,False
-540.389377,820,637.005883,False
-899.147406,985,638.148276,False
-658.783234,884,640.135296,False
-1136.601811,1000,640.889654,False
-616.885641,837,642.894923,False
-649.579491,900,643.990123,False
-600.72432,880,646.014607,False
-841.106638,831,647.105283,False
-644.11872,800,648.064363,False
-838.932492,832,649.898943,False
-1049.880682,894,650.961722,False
-639.639484,885,653.027993,False
-703.946835,837,654.165414,False
-924.617513,887,655.322012,False
-812.642356,873,657.181118,False
-1492.917583,1000,657.913172,False
-885.716222,860,659.808862,False
-820.543965,893,660.916372,False
-578.950109,875,662.821511,False
-909.38891,981,663.989501,False
-969.479605,927,666.042637,False
-603.256832,897,667.135562,False
-735.176472,864,668.202314,False
-980.435042,994,670.189859,False
-1023.624537,853,671.310503,False
-1264.304901,902,673.25236,False
-588.836767,792,674.258046,False
-934.313627,865,676.278083,False
-592.822394,877,677.372541,False
-667.121554,819,678.430765,False
-761.115851,854,680.3017,False
-992.697968,862,681.397413,False
-1175.798302,867,683.455933,False
-1315.225354,895,684.529466,False
-756.565419,821,686.668464,False
-1058.264696,888,687.807266,False
-681.794108,821,688.922854,False
-1442.706519,926,690.896632,False
-667.121562,817,691.937617,False
-961.10847,849,693.895915,False
-1278.6407,901,694.973751,False
-1128.983016,895,696.845489,False
-657.295694,868,697.97959,False
-1168.499488,893,699.099338,False
-1264.1933,890,701.106493,False
-875.784938,852,702.222243,False
-777.860831,795,704.110949,False
-800.436793,842,705.258387,False
-1012.796496,864,706.342883,False
-831.691757,892,708.308356,False
-1138.938523,911,709.41405,False
-928.48597,857,711.364192,False
-583.44725,844,712.465909,False
-1029.86274,854,714.375007,False
-1738.598776,1000,715.163249,False
